Employee Name,Task Name,Match Score,Availability,Personality Score,Work Style Score
Aarav Sharma,refactor legacy code,0,part-time,2,3
Kabir Mehta,refactor legacy code,0,freelance,2,1
Aarav Sharma,refactor legacy code,0,part-time,2,1
Aditya Patel,refactor legacy code,0,freelance,2,3
Ananya Verma,refactor legacy code,0,freelance,2,3
Rohan Gupta,refactor legacy code,0,full-time,2,3
Aditya Patel,refactor legacy code,0,full-time,2,3
Sneha Nair,refactor legacy code,0,full-time,2,1
Ishita Singh,refactor legacy code,0,part-time,2,1
Aarav Sharma,refactor legacy code,0,full-time,2,1
Kunal Joshi,refactor legacy code,0,full-time,2,3
Aditya Patel,refactor legacy code,0,full-time,2,3
Ananya Verma,social media outreach,0,part-time,2,3
Priya Das,social media outreach,0,freelance,2,1
Ananya Verma,social media outreach,0,full-time,2,1
Aditya Patel,social media outreach,0,full-time,2,3
Ananya Verma,social media outreach,0,freelance,2,3
Aarav Sharma,social media outreach,0,full-time,2,3
Meera Kapoor,social media outreach,0,freelance,2,3
Rohan Gupta,social media outreach,0,full-time,2,3
Priya Das,social media outreach,0,full-time,2,3
Ananya Verma,social media outreach,0,part-time,2,3
Meera Kapoor,social media outreach,0,freelance,2,1
Priya Das,social media outreach,0,full-time,2,3
Rohan Gupta,social media outreach,0,freelance,2,3
Ishita Singh,social media outreach,0,full-time,2,3
Ishita Singh,social media outreach,0,part-time,2,3
Aarav Sharma,social media outreach,0,full-time,2,1
Sneha Nair,social media outreach,0,freelance,2,1
Rohan Gupta,social media outreach,0,full-time,2,3
Aarav Sharma,social media outreach,0,part-time,2,3
Kabir Mehta,social media outreach,0,freelance,2,1
Aarav Sharma,social media outreach,0,part-time,2,1
Aditya Patel,social media outreach,0,freelance,2,3
Ananya Verma,social media outreach,0,freelance,2,3
Rohan Gupta,social media outreach,0,full-time,2,3
Aditya Patel,social media outreach,0,full-time,2,3
Sneha Nair,social media outreach,0,full-time,2,1
Ishita Singh,social media outreach,0,part-time,2,1
Aarav Sharma,social media outreach,0,full-time,2,1
Kunal Joshi,social media outreach,0,full-time,2,3
Aditya Patel,social media outreach,0,full-time,2,3
Ananya Verma,deploy to aws,0,part-time,2,3
Priya Das,deploy to aws,0,freelance,2,1
Ananya Verma,deploy to aws,0,full-time,2,1
Aditya Patel,deploy to aws,1,full-time,2,3
Ananya Verma,deploy to aws,0,freelance,2,3
Aarav Sharma,deploy to aws,0,full-time,2,3
Meera Kapoor,deploy to aws,1,freelance,2,3
Rohan Gupta,deploy to aws,1,full-time,2,3
Priya Das,deploy to aws,0,full-time,2,3
Ananya Verma,deploy to aws,0,part-time,2,3
Meera Kapoor,deploy to aws,0,freelance,2,1
Priya Das,deploy to aws,0,full-time,2,3
Rohan Gupta,deploy to aws,0,freelance,2,3
Ishita Singh,deploy to aws,1,full-time,2,3
Ishita Singh,deploy to aws,0,part-time,2,3
Aarav Sharma,deploy to aws,0,full-time,2,1
Sneha Nair,deploy to aws,0,freelance,2,1
Rohan Gupta,deploy to aws,0,full-time,2,3
Aarav Sharma,deploy to aws,0,part-time,2,3
Kabir Mehta,deploy to aws,0,freelance,2,1
Aarav Sharma,deploy to aws,0,part-time,2,1
Aditya Patel,deploy to aws,1,freelance,2,3
Ananya Verma,deploy to aws,1,freelance,2,3
Rohan Gupta,deploy to aws,0,full-time,2,3
Aditya Patel,deploy to aws,1,full-time,2,3
Sneha Nair,deploy to aws,1,full-time,2,1
Ishita Singh,deploy to aws,1,part-time,2,1
Aarav Sharma,deploy to aws,1,full-time,2,1
Kunal Joshi,deploy to aws,1,full-time,2,3
Aditya Patel,deploy to aws,0,full-time,2,3
Ananya Verma,data visualization dashboard,0,part-time,2,3
Priya Das,data visualization dashboard,0,freelance,2,1
Ananya Verma,data visualization dashboard,0,full-time,2,1
Aditya Patel,data visualization dashboard,0,full-time,2,3
Ananya Verma,data visualization dashboard,0,freelance,2,3
Aarav Sharma,data visualization dashboard,0,full-time,2,3
Meera Kapoor,data visualization dashboard,0,freelance,2,3
Rohan Gupta,data visualization dashboard,0,full-time,2,3
Priya Das,data visualization dashboard,0,full-time,2,3
Ananya Verma,data visualization dashboard,0,part-time,2,3
Meera Kapoor,data visualization dashboard,0,freelance,2,1
Priya Das,data visualization dashboard,0,full-time,2,3
Rohan Gupta,data visualization dashboard,0,freelance,2,3
Ishita Singh,data visualization dashboard,0,full-time,2,3
Ishita Singh,data visualization dashboard,0,part-time,2,3
Aarav Sharma,data visualization dashboard,0,full-time,2,1
Sneha Nair,data visualization dashboard,0,freelance,2,1
Rohan Gupta,data visualization dashboard,0,full-time,2,3
Aarav Sharma,data visualization dashboard,0,part-time,2,3
Kabir Mehta,data visualization dashboard,0,freelance,2,1
Aarav Sharma,data visualization dashboard,0,part-time,2,1
Aditya Patel,data visualization dashboard,0,freelance,2,3
Ananya Verma,data visualization dashboard,0,freelance,2,3
Rohan Gupta,data visualization dashboard,0,full-time,2,3
Aditya Patel,data visualization dashboard,0,full-time,2,3
Sneha Nair,data visualization dashboard,0,full-time,2,1
Ishita Singh,data visualization dashboard,0,part-time,2,1
Aarav Sharma,data visualization dashboard,0,full-time,2,1
Kunal Joshi,data visualization dashboard,0,full-time,2,3
Aditya Patel,data visualization dashboard,0,full-time,2,3
Ananya Verma,keyword research,0,part-time,2,3
Priya Das,keyword research,0,freelance,2,1
Ananya Verma,keyword research,0,full-time,2,1
Aditya Patel,keyword research,0,full-time,2,3
Ananya Verma,keyword research,0,freelance,2,3
Aarav Sharma,keyword research,0,full-time,2,3
Meera Kapoor,keyword research,0,freelance,2,3
Rohan Gupta,keyword research,0,full-time,2,3
Priya Das,keyword research,0,full-time,2,3
Ananya Verma,keyword research,0,part-time,2,3
Meera Kapoor,keyword research,0,freelance,2,1
Priya Das,keyword research,0,full-time,2,3
Rohan Gupta,keyword research,0,freelance,2,3
Ishita Singh,keyword research,0,full-time,2,3
Ishita Singh,keyword research,0,part-time,2,3
Aarav Sharma,keyword research,0,full-time,2,1
Sneha Nair,keyword research,0,freelance,2,1
Rohan Gupta,keyword research,0,full-time,2,3
Aarav Sharma,keyword research,0,part-time,2,3
Kabir Mehta,keyword research,0,freelance,2,1
Aarav Sharma,keyword research,0,part-time,2,1
Aditya Patel,keyword research,0,freelance,2,3
Ananya Verma,keyword research,0,freelance,2,3
Rohan Gupta,keyword research,0,full-time,2,3
Aditya Patel,keyword research,0,full-time,2,3
Sneha Nair,keyword research,0,full-time,2,1
Ishita Singh,keyword research,0,part-time,2,1
Aarav Sharma,keyword research,0,full-time,2,1
Kunal Joshi,keyword research,0,full-time,2,3
Aditya Patel,keyword research,0,full-time,2,3
Ananya Verma,set up crm tool,0,part-time,2,3
Priya Das,set up crm tool,0,freelance,2,1
Ananya Verma,set up crm tool,0,full-time,2,1
Aditya Patel,set up crm tool,0,full-time,2,3
Ananya Verma,set up crm tool,0,freelance,2,3
Aarav Sharma,set up crm tool,0,full-time,2,3
Meera Kapoor,set up crm tool,0,freelance,2,3
Rohan Gupta,set up crm tool,0,full-time,2,3
Priya Das,set up crm tool,0,full-time,2,3
Ananya Verma,set up crm tool,0,part-time,2,3
Meera Kapoor,set up crm tool,0,freelance,2,1
Priya Das,set up crm tool,0,full-time,2,3
Rohan Gupta,set up crm tool,0,freelance,2,3
Ishita Singh,set up crm tool,0,full-time,2,3
Ishita Singh,set up crm tool,0,part-time,2,3
Aarav Sharma,set up crm tool,0,full-time,2,1
Sneha Nair,set up crm tool,0,freelance,2,1
Rohan Gupta,set up crm tool,0,full-time,2,3
Aarav Sharma,set up crm tool,0,part-time,2,3
Kabir Mehta,set up crm tool,0,freelance,2,1
Aarav Sharma,set up crm tool,0,part-time,2,1
Aditya Patel,set up crm tool,0,freelance,2,3
Ananya Verma,set up crm tool,0,freelance,2,3
Rohan Gupta,set up crm tool,0,full-time,2,3
Aditya Patel,set up crm tool,0,full-time,2,3
Sneha Nair,set up crm tool,0,full-time,2,1
Ishita Singh,set up crm tool,0,part-time,2,1
Aarav Sharma,set up crm tool,0,full-time,2,1
Kunal Joshi,set up crm tool,0,full-time,2,3
Aditya Patel,set up crm tool,0,full-time,2,3
Ananya Verma,improve seo ranking,0,part-time,2,3
Priya Das,improve seo ranking,0,freelance,2,1
Ananya Verma,improve seo ranking,0,full-time,2,1
Aditya Patel,improve seo ranking,0,full-time,2,3
Ananya Verma,improve seo ranking,0,freelance,2,3
Aarav Sharma,improve seo ranking,0,full-time,2,3
Meera Kapoor,improve seo ranking,0,freelance,2,3
Rohan Gupta,improve seo ranking,0,full-time,2,3
Priya Das,improve seo ranking,0,full-time,2,3
Ananya Verma,improve seo ranking,0,part-time,2,3
Meera Kapoor,improve seo ranking,0,freelance,2,1
Priya Das,improve seo ranking,0,full-time,2,3
Rohan Gupta,improve seo ranking,0,freelance,2,3
Ishita Singh,improve seo ranking,0,full-time,2,3
Ishita Singh,improve seo ranking,0,part-time,2,3
Aarav Sharma,improve seo ranking,0,full-time,2,1
Sneha Nair,improve seo ranking,0,freelance,2,1
Rohan Gupta,improve seo ranking,0,full-time,2,3
Aarav Sharma,improve seo ranking,0,part-time,2,3
Kabir Mehta,improve seo ranking,0,freelance,2,1
Aarav Sharma,improve seo ranking,0,part-time,2,1
Aditya Patel,improve seo ranking,0,freelance,2,3
Ananya Verma,improve seo ranking,0,freelance,2,3
Rohan Gupta,improve seo ranking,0,full-time,2,3
Aditya Patel,improve seo ranking,0,full-time,2,3
Sneha Nair,improve seo ranking,0,full-time,2,1
Ishita Singh,improve seo ranking,0,part-time,2,1
Aarav Sharma,improve seo ranking,0,full-time,2,1
Kunal Joshi,improve seo ranking,0,full-time,2,3
Aditya Patel,improve seo ranking,0,full-time,2,3
Ananya Verma,mobile app testing,0,part-time,2,3
Priya Das,mobile app testing,0,freelance,2,1
Ananya Verma,mobile app testing,0,full-time,2,1
Aditya Patel,mobile app testing,0,full-time,2,3
Ananya Verma,mobile app testing,0,freelance,2,3
Aarav Sharma,mobile app testing,0,full-time,2,3
Meera Kapoor,mobile app testing,0,freelance,2,3
Rohan Gupta,mobile app testing,0,full-time,2,3
Priya Das,mobile app testing,0,full-time,2,3
Ananya Verma,mobile app testing,0,part-time,2,3
Meera Kapoor,mobile app testing,0,freelance,2,1
Priya Das,mobile app testing,0,full-time,2,3
Rohan Gupta,mobile app testing,0,freelance,2,3
Ishita Singh,mobile app testing,0,full-time,2,3
Ishita Singh,mobile app testing,0,part-time,2,3
Aarav Sharma,mobile app testing,0,full-time,2,1
Sneha Nair,mobile app testing,0,freelance,2,1
Rohan Gupta,mobile app testing,0,full-time,2,3
Aarav Sharma,mobile app testing,0,part-time,2,3
Kabir Mehta,mobile app testing,0,freelance,2,1
Aarav Sharma,mobile app testing,0,part-time,2,1
Aditya Patel,mobile app testing,0,freelance,2,3
Ananya Verma,mobile app testing,0,freelance,2,3
Rohan Gupta,mobile app testing,0,full-time,2,3
Aditya Patel,mobile app testing,0,full-time,2,3
Sneha Nair,mobile app testing,0,full-time,2,1
Ishita Singh,mobile app testing,0,part-time,2,1
Aarav Sharma,mobile app testing,0,full-time,2,1
Kunal Joshi,mobile app testing,0,full-time,2,3
Aditya Patel,mobile app testing,0,full-time,2,3
Ananya Verma,integrate third party api,1,part-time,2,3
Priya Das,integrate third party api,0,freelance,2,1
Ananya Verma,integrate third party api,0,full-time,2,1
Aditya Patel,integrate third party api,0,full-time,2,3
Ananya Verma,integrate third party api,0,freelance,2,3
Aarav Sharma,integrate third party api,0,full-time,2,3
Meera Kapoor,integrate third party api,0,freelance,2,3
Rohan Gupta,integrate third party api,0,full-time,2,3
Priya Das,integrate third party api,1,full-time,2,3
Ananya Verma,integrate third party api,0,part-time,2,3
Meera Kapoor,integrate third party api,0,freelance,2,1
Priya Das,integrate third party api,0,full-time,2,3
Rohan Gupta,integrate third party api,1,freelance,2,3
Ishita Singh,integrate third party api,1,full-time,2,3
Ishita Singh,integrate third party api,1,part-time,2,3
Aarav Sharma,integrate third party api,0,full-time,2,1
Sneha Nair,integrate third party api,0,freelance,2,1
Rohan Gupta,integrate third party api,1,full-time,2,3
Aarav Sharma,integrate third party api,1,part-time,2,3
Kabir Mehta,integrate third party api,1,freelance,2,1
Aarav Sharma,integrate third party api,1,part-time,2,1
Aditya Patel,integrate third party api,0,freelance,2,3
Ananya Verma,integrate third party api,0,freelance,2,3
Rohan Gupta,integrate third party api,0,full-time,2,3
Aditya Patel,integrate third party api,0,full-time,2,3
Sneha Nair,integrate third party api,0,full-time,2,1
Ishita Singh,integrate third party api,0,part-time,2,1
Aarav Sharma,integrate third party api,0,full-time,2,1
Kunal Joshi,integrate third party api,0,full-time,2,3
Aditya Patel,integrate third party api,0,full-time,2,3
Ananya Verma,train ml model,0,part-time,2,3
Priya Das,train ml model,0,freelance,2,1
Ananya Verma,train ml model,0,full-time,2,1
Aditya Patel,train ml model,1,full-time,2,3
Ananya Verma,train ml model,0,freelance,2,3
Aarav Sharma,train ml model,0,full-time,2,3
Meera Kapoor,train ml model,1,freelance,2,3
Rohan Gupta,train ml model,1,full-time,2,3
Priya Das,train ml model,0,full-time,2,3
Ananya Verma,train ml model,0,part-time,2,3
Meera Kapoor,train ml model,0,freelance,2,1
Priya Das,train ml model,0,full-time,2,3
Rohan Gupta,train ml model,0,freelance,2,3
Ishita Singh,train ml model,1,full-time,2,3
Ishita Singh,train ml model,0,part-time,2,3
Aarav Sharma,train ml model,0,full-time,2,1
Sneha Nair,train ml model,0,freelance,2,1
Rohan Gupta,train ml model,0,full-time,2,3
Aarav Sharma,train ml model,0,part-time,2,3
Kabir Mehta,train ml model,0,freelance,2,1
Aarav Sharma,train ml model,0,part-time,2,1
Aditya Patel,train ml model,1,freelance,2,3
Ananya Verma,train ml model,1,freelance,2,3
Rohan Gupta,train ml model,0,full-time,2,3
Aditya Patel,train ml model,1,full-time,2,3
Sneha Nair,train ml model,1,full-time,2,1
Ishita Singh,train ml model,1,part-time,2,1
Aarav Sharma,train ml model,1,full-time,2,1
Kunal Joshi,train ml model,1,full-time,2,3
Aditya Patel,train ml model,0,full-time,2,3
Ananya Verma,security audit,0,part-time,2,3
Priya Das,security audit,0,freelance,2,1
Ananya Verma,security audit,0,full-time,2,1
Aditya Patel,security audit,1,full-time,2,3
Ananya Verma,security audit,0,freelance,2,3
Aarav Sharma,security audit,0,full-time,2,3
Meera Kapoor,security audit,1,freelance,2,3
Rohan Gupta,security audit,1,full-time,2,3
Priya Das,security audit,0,full-time,2,3
Ananya Verma,security audit,0,part-time,2,3
Meera Kapoor,security audit,0,freelance,2,1
Priya Das,security audit,0,full-time,2,3
Rohan Gupta,security audit,0,freelance,2,3
Ishita Singh,security audit,1,full-time,2,3
Ishita Singh,security audit,0,part-time,2,3
Aarav Sharma,security audit,0,full-time,2,1
Sneha Nair,security audit,0,freelance,2,1
Rohan Gupta,security audit,0,full-time,2,3
Aarav Sharma,security audit,0,part-time,2,3
Kabir Mehta,security audit,0,freelance,2,1
Aarav Sharma,security audit,0,part-time,2,1
Aditya Patel,security audit,1,freelance,2,3
Ananya Verma,security audit,1,freelance,2,3
Rohan Gupta,security audit,0,full-time,2,3
Aditya Patel,security audit,1,full-time,2,3
Sneha Nair,security audit,1,full-time,2,1
Ishita Singh,security audit,1,part-time,2,1
Aarav Sharma,security audit,1,full-time,2,1
Kunal Joshi,security audit,1,full-time,2,3
Aditya Patel,security audit,0,full-time,2,3
Ananya Verma,content writing,0,part-time,2,3
Priya Das,content writing,0,freelance,2,1
Ananya Verma,content writing,0,full-time,2,1
Aditya Patel,content writing,1,full-time,2,3
Ananya Verma,content writing,0,freelance,2,3
Aarav Sharma,content writing,0,full-time,2,3
Meera Kapoor,content writing,1,freelance,2,3
Rohan Gupta,content writing,1,full-time,2,3
Priya Das,content writing,0,full-time,2,3
Ananya Verma,content writing,0,part-time,2,3
Meera Kapoor,content writing,0,freelance,2,1
Priya Das,content writing,0,full-time,2,3
Rohan Gupta,content writing,0,freelance,2,3
Ishita Singh,content writing,1,full-time,2,3
Ishita Singh,content writing,0,part-time,2,3
Aarav Sharma,content writing,0,full-time,2,1
Sneha Nair,content writing,0,freelance,2,1
Rohan Gupta,content writing,0,full-time,2,3
Aarav Sharma,content writing,0,part-time,2,3
Kabir Mehta,content writing,0,freelance,2,1
Aarav Sharma,content writing,0,part-time,2,1
Aditya Patel,content writing,1,freelance,2,3
Ananya Verma,content writing,1,freelance,2,3
Rohan Gupta,content writing,0,full-time,2,3
Aditya Patel,content writing,1,full-time,2,3
Sneha Nair,content writing,1,full-time,2,1
Ishita Singh,content writing,1,part-time,2,1
Aarav Sharma,content writing,1,full-time,2,1
Kunal Joshi,content writing,1,full-time,2,3
Aditya Patel,content writing,0,full-time,2,3
